Team,Team_Name
3045,Built and Dangerous
3045,BAD
3045,Built and Dangerous (B.A.D)
3050,G-BOTS
3050,G-Bots
3053,Knights Robotics
3055,Unbalanced Wheat
3057,Girls Like Bots 
3057,Girls Like Bots
3058,Jury Riggers
3070,Century Cyborgs
3073,Heavy D
3073,Massive D
3075,Firebirds
3077,Zinc Iridium
3081,Trial & Error
3083,Dro-Code 101
3085,Higgs Bot 
3085,Higgs Bots
3093,Jellyfishes
3093,Jellyfishes
3095,The Blue Buccaneers Team 3095
3101,Boom Bots
3101,Boom Bots
3101,BoomBots
3111,Robo-Warriors
3113,Some Disassembly Required
3113,Craftsmen
3113,Some Disassembly Required
3115,RADSkullz
3115,RADSkullz
3116,RoboWarriors
3123,Spontaneous Combustion
3123,Spontaneous Combustion
3127,Girlz
3129,East Robots 1
3141,Bears
3147,Falcons
3152,RoboOwl1
3157,Williston Wildcat Robotics 
3162,Gearheads
3188,Squiggle Splat Bang
3188,Squiggle Plat Bang
3207,Caution
3208,Diamonds in the Rough
3216,Robophins
3216,Robophins
3222,Robocats
3231,Syzygy
3237,N^3
3237,N^3
3253,Carroll Metal Lions
3260,Meg Bot
3261,Dreadnaught
3273,Absolute Zero
3273,Absolute Zero
3283,SciBots
3296,The ThunderBirds
3334,Time Machine
3346,The Robo Chiefs
3346,The Robo Chiefs 
3351,Tater Bots
3360,Team Caffeine
3371,Botley Crue
3385,Suspicious Package
3387,ICE
3397,Cyborg Gentlemen Crabs
3398,Darth Panthers
3409,Astromechs
3411,High Voltage
3415,Lancers
3415,Lancers
3419,Warrior Bot
3425,Campbell County High School
3438,The Brick Squad
3470,The Patriots
3477,Geeks in just their underpants
3479,Arrupe Generals
3480,Frostbyte
3480,Frost Byte
3483,ASCII Robotics
3483,ASCII
3483,ASCII
3483,Aperture Science Competitive IPT Initiative (ASCII)
3485,DaPeeps
3485,Da Peeps
3486,Techno Warriors Advanced
3486,Techno Warriors Advanced
3491,Fix  It
3491,FIX IT
3492,Team Zip Tie
3503,Strange Youngsterz
3505,Brobotics
3507,RoboTheosis
3507,RoboTheosis
3509,PHOENXTRIX
3513,Domo Arigato
3515,Untitled-8
3517,Techno Mafia
3523,Bot Bosses
3525,The Dead Ringers
3531,The Short Circuits
3531,Short Circuits
3537,The Mecha-Hampsters
3537,The Mecha Hampsters
3537,The Mecha-Hampsters
3539,Say Watt?
3539,Say Watt?ÿ 
3539,Say Watt?
3540,RoboBoogie
3541,Friends RoboOwls 2
3543,Titan Robotics
3547,Pixel Warriors
3548,Vinton-Shellsburg Robotics
3549,Born To Be Wired
3550,Beta
3558,Fire Ants
3565,WA Ghosts 
3567,Fear the Gear
3567,Fear the Gear
3568,Ice Wolves
3568,Ice Wolves
3582,Robo Chiefs
3583,Jr. Power Hawks
3584,CCA Brobotics
3587,Unparalleled Processing
3590,Ingenium
3590,Ingenium 
3591,Quark
3592,Meson
3594,Twisted Metal
3594,Twisted Metal 
3595,Schr?dinger's Hat
