Team,Team_Name
6878,City Poly 2
6879,Thurber 1
6881,BioHazard
6883,101010
6885,Edison Robotics
6897,Robot Dynasty
6898,Daviess County High School
6899,Blue Griffin
6901,Royal Bots
6903,Girl Scouts of Greater South Texas
